,stop_resolution,weapon_type,officer_id,officer_race,subject_perceived_race,initial_call_type,final_call_type,call_type,precinct,sector,beat,incident_year,incident_month,officer_age,12am_6am,7am_12pm,1pm_6pm,7pm_11pm,officer_gender__M,subject_perceived_gender__M,subject_perceived_gender__Unable to Determine,arrest_flag__Y,frisk_flag__Y,dif_race__Y,dif_gender__Y,repeat_offenders__Y,subject_age_group__1_17,subject_age_group__26_35,subject_age_group__36_45,subject_age_group__46_55,subject_age_group__56_up,subject_age_group__Unknown
121,3,3,186,7,7,47,44,0,0,7,19,0,4,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,3,3,186,7,7,47,44,0,0,7,19,0,4,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
123,2,3,615,7,5,137,98,0,0,3,9,0,4,3,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
124,3,3,414,7,5,48,44,0,0,3,11,0,4,25,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
126,2,3,11,7,5,135,93,2,0,7,19,0,5,35,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
127,3,3,651,7,7,136,90,2,0,7,21,0,5,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
128,3,3,457,7,5,136,83,2,0,7,21,0,5,31,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
129,3,3,285,7,5,128,115,2,2,29,85,0,5,24,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
130,3,3,285,7,5,128,115,2,2,29,85,0,5,24,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1
131,2,3,247,1,5,127,99,0,1,17,49,0,5,24,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
132,2,3,247,1,5,127,99,0,1,17,49,0,5,24,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
133,3,3,582,7,1,47,44,0,2,29,89,0,5,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
134,2,3,258,2,5,90,70,2,6,19,59,0,5,18,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
136,4,3,348,7,5,84,106,0,4,9,27,0,5,19,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
137,4,3,348,7,5,84,106,0,4,9,27,0,5,19,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
138,4,3,348,7,5,84,106,0,4,9,27,0,5,19,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
139,3,3,101,7,5,17,44,0,2,23,71,0,5,24,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
